Model name   Start date   End date   Unit   Dimensions   Grid   Resolution   Data type
tas_Amon_HadGEM3-GC31-LL_ssp245_r1i1p1f3_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   Native N96 grid; 192 x 144 longitude/latitude   250 km   float32
tas_Amon_HadGEM3-GC31-LL_ssp585_r1i1p1f3_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   Native N96 grid; 192 x 144 longitude/latitude   250 km   float32
tas_Amon_HadGEM3-GC31-MM_ssp126_r1i1p1f3_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 324, 'lon': 432})   Native N216 grid; 432 x 324 longitude/latitude   100 km   float32
tas_Amon_HadGEM3-GC31-MM_ssp585_r1i1p1f3_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 324, 'lon': 432})   Native N216 grid; 432 x 324 longitude/latitude   100 km   float32
tas_Amon_IITM-ESM_ssp126_r1i1p1f1_gn_201501-209912   201501   209912   K   Frozen({'time': 1020, 'bnds': 2, 'lat': 94, 'lon': 192})   gs2x2   250 km   float32
tas_Amon_IITM-ESM_ssp245_r1i1p1f1_gn_201501-209912   201501   209912   K   Frozen({'time': 1020, 'bnds': 2, 'lat': 94, 'lon': 192})   gs2x2   250 km   float32
tas_Amon_IITM-ESM_ssp370_r1i1p1f1_gn_201501-209812   201501   209812   K   Frozen({'time': 1008, 'bnds': 2, 'lat': 94, 'lon': 192})   gs2x2   250 km   float32
tas_Amon_IITM-ESM_ssp585_r1i1p1f1_gn_201501-209912   201501   209912   K   Frozen({'time': 1020, 'bnds': 2, 'lat': 94, 'lon': 192})   gs2x2   250 km   float32
tas_Amon_INM-CM4-8_ssp126_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 120, 'lon': 180})   gs2x1.5   100 km   float32
tas_Amon_INM-CM4-8_ssp245_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 120, 'lon': 180})   gs2x1.5   100 km   float32
tas_Amon_INM-CM4-8_ssp370_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 120, 'lon': 180})   gs2x1.5   100 km   float32
tas_Amon_INM-CM4-8_ssp585_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 120, 'lon': 180})   gs2x1.5   100 km   float32
tas_Amon_INM-CM5-0_ssp126_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 120, 'lon': 180})   gs2x1.5   100 km   float32
tas_Amon_INM-CM5-0_ssp245_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 120, 'lon': 180})   gs2x1.5   100 km   float32
tas_Amon_INM-CM5-0_ssp370_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 120, 'lon': 180})   gs2x1.5   100 km   float32
tas_Amon_INM-CM5-0_ssp585_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 120, 'lon': 180})   gs2x1.5   100 km   float32
tas_Amon_IPSL-CM5A2-INCA_ssp126_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'lat': 96, 'lon': 96, 'time': 1032, 'axis_nbounds': 2})   LMDZ grid   500 km   float32
tas_Amon_IPSL-CM5A2-INCA_ssp370_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'lat': 96, 'lon': 96, 'time': 1032, 'axis_nbounds': 2})   LMDZ grid   500 km   float32
tas_Amon_IPSL-CM6A-LR_ssp119_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'lat': 143, 'lon': 144, 'time': 1032, 'axis_nbounds': 2})   LMDZ grid   250 km   float32
tas_Amon_IPSL-CM6A-LR_ssp126_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'lat': 143, 'lon': 144, 'time': 1032, 'axis_nbounds': 2})   LMDZ grid   250 km   float32
tas_Amon_IPSL-CM6A-LR_ssp245_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'lat': 143, 'lon': 144, 'time': 1032, 'axis_nbounds': 2})   LMDZ grid   250 km   float32
tas_Amon_IPSL-CM6A-LR_ssp370_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'lat': 143, 'lon': 144, 'time': 1032, 'axis_nbounds': 2})   LMDZ grid   250 km   float32
tas_Amon_IPSL-CM6A-LR_ssp585_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'lat': 143, 'lon': 144, 'time': 1032, 'axis_nbounds': 2})   LMDZ grid   250 km   float32
tas_Amon_KACE-1-0-G_ssp126_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   gs1x1   250 km   float32
tas_Amon_KACE-1-0-G_ssp245_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   gs1x1   250 km   float32
tas_Amon_KACE-1-0-G_ssp370_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   gs1x1   250 km   float32
tas_Amon_KACE-1-0-G_ssp585_r1i1p1f1_gr_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   gs1x1   250 km   float32
tas_Amon_KIOST-ESM_ssp126_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lon': 192, 'lat': 96, 'bnds': 2})   atmos data regridded from Cubed-sphere (c48) to 94X192   250 km   float32
tas_Amon_KIOST-ESM_ssp245_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lon': 192, 'lat': 96, 'bnds': 2})   atmos data regridded from Cubed-sphere (c48) to 94X192   250 km   float32
tas_Amon_KIOST-ESM_ssp585_r1i1p1f1_gr1_201501-210012   201501   210012   K   Frozen({'time': 1032, 'lon': 192, 'lat': 96, 'bnds': 2})   atmos data regridded from Cubed-sphere (c48) to 94X192   250 km   float32
tas_Amon_MCM-UA-1-0_ssp126_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'bnds': 2, 'lon': 96, 'lat': 80, 'time': 1032})   lat-lon   250 km   float32
tas_Amon_MCM-UA-1-0_ssp245_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'bnds': 2, 'lon': 96, 'lat': 80, 'time': 1032})   lat-lon   250 km   float32
tas_Amon_MCM-UA-1-0_ssp370_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'bnds': 2, 'lon': 96, 'lat': 80, 'time': 1032})   lat-lon   250 km   float32
tas_Amon_MCM-UA-1-0_ssp585_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'bnds': 2, 'lon': 96, 'lat': 80, 'time': 1032})   lat-lon   250 km   float32
tas_Amon_MIROC-ES2L_ssp119_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 64, 'lon': 128})   native atmosphere T42 Gaussian grid   500 km   float32
tas_Amon_MIROC-ES2L_ssp126_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 64, 'lon': 128})   native atmosphere T42 Gaussian grid   500 km   float32
tas_Amon_MIROC-ES2L_ssp245_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 64, 'lon': 128})   native atmosphere T42 Gaussian grid   500 km   float32
tas_Amon_MIROC-ES2L_ssp370_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 64, 'lon': 128})   native atmosphere T42 Gaussian grid   500 km   float32
tas_Amon_MIROC-ES2L_ssp585_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 64, 'lon': 128})   native atmosphere T42 Gaussian grid   500 km   float32
tas_Amon_MIROC6_ssp119_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 128, 'lon': 256})   native atmosphere T85 Gaussian grid   250 km   float32
tas_Amon_MIROC6_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 128, 'lon': 256})   native atmosphere T85 Gaussian grid   250 km   float32
tas_Amon_MIROC6_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 128, 'lon': 256})   native atmosphere T85 Gaussian grid   250 km   float32
tas_Amon_MIROC6_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 128, 'lon': 256})   native atmosphere T85 Gaussian grid   250 km   float32
tas_Amon_MIROC6_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 128, 'lon': 256})   native atmosphere T85 Gaussian grid   250 km   float32
tas_Amon_MPI-ESM-1-2-HAM_ssp370_r1i1p1f1_gn_201501-205512   201501   205512   K   Frozen({'time': 492, 'bnds': 2, 'lat': 96, 'lon': 192})   gn   250 km   float32
tas_Amon_MPI-ESM1-2-HR_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 384})   gn   100 km   float32
tas_Amon_MPI-ESM1-2-HR_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 384})   gn   100 km   float32
tas_Amon_MPI-ESM1-2-HR_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 384})   gn   100 km   float32
tas_Amon_MPI-ESM1-2-HR_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 384})   gn   100 km   float32
tas_Amon_MPI-ESM1-2-LR_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 96, 'lon': 192})   gn   250 km   float32
tas_Amon_MPI-ESM1-2-LR_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 96, 'lon': 192})   gn   250 km   float32
tas_Amon_MPI-ESM1-2-LR_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 96, 'lon': 192})   gn   250 km   float32
tas_Amon_MPI-ESM1-2-LR_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 96, 'lon': 192})   gn   250 km   float32
tas_Amon_MRI-ESM2-0_ssp119_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   native atmosphere TL159 gaussian grid (160x320 latxlon)   100 km   float32
tas_Amon_MRI-ESM2-0_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   native atmosphere TL159 gaussian grid (160x320 latxlon)   100 km   float32
tas_Amon_MRI-ESM2-0_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   native atmosphere TL159 gaussian grid (160x320 latxlon)   100 km   float32
tas_Amon_MRI-ESM2-0_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   native atmosphere TL159 gaussian grid (160x320 latxlon)   100 km   float32
tas_Amon_MRI-ESM2-0_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 160, 'lon': 320})   native atmosphere TL159 gaussian grid (160x320 latxlon)   100 km   float32
tas_Amon_NESM3_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 96, 'lon': 192})   T63   250 km   float32
tas_Amon_NESM3_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 96, 'lon': 192})   T63   250 km   float32
tas_Amon_NESM3_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 96, 'lon': 192})   T63   250 km   float32
tas_Amon_NorESM2-LM_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 96, 'lon': 144})   finite-volume grid with 1.9x2.5 degree lat/lon resolution   250 km   float32
tas_Amon_NorESM2-LM_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 96, 'lon': 144})   finite-volume grid with 1.9x2.5 degree lat/lon resolution   250 km   float32
tas_Amon_NorESM2-LM_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 96, 'lon': 144})   finite-volume grid with 1.9x2.5 degree lat/lon resolution   250 km   float32
tas_Amon_NorESM2-LM_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 96, 'lon': 144})   finite-volume grid with 1.9x2.5 degree lat/lon resolution   250 km   float32
tas_Amon_NorESM2-MM_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   finite-volume grid with 0.9x1.25 degree lat/lon resolution   100 km   float32
tas_Amon_NorESM2-MM_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   finite-volume grid with 0.9x1.25 degree lat/lon resolution   100 km   float32
tas_Amon_NorESM2-MM_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   finite-volume grid with 0.9x1.25 degree lat/lon resolution   100 km   float32
tas_Amon_NorESM2-MM_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   finite-volume grid with 0.9x1.25 degree lat/lon resolution   100 km   float32
tas_Amon_TaiESM1_ssp126_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   finite-volume grid with 0.9x1.25 degree lat/lon resolution   100 km   float32
tas_Amon_TaiESM1_ssp245_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   finite-volume grid with 0.9x1.25 degree lat/lon resolution   100 km   float32
tas_Amon_TaiESM1_ssp370_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   finite-volume grid with 0.9x1.25 degree lat/lon resolution   100 km   float32
tas_Amon_TaiESM1_ssp585_r1i1p1f1_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 192, 'lon': 288})   finite-volume grid with 0.9x1.25 degree lat/lon resolution   100 km   float32
tas_Amon_UKESM1-0-LL_ssp119_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   Native N96 grid; 192 x 144 longitude/latitude   250 km   float32
tas_Amon_UKESM1-0-LL_ssp126_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   Native N96 grid; 192 x 144 longitude/latitude   250 km   float32
tas_Amon_UKESM1-0-LL_ssp245_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   Native N96 grid; 192 x 144 longitude/latitude   250 km   float32
tas_Amon_UKESM1-0-LL_ssp370_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   Native N96 grid; 192 x 144 longitude/latitude   250 km   float32
tas_Amon_UKESM1-0-LL_ssp585_r1i1p1f2_gn_201501-210012   201501   210012   K   Frozen({'time': 1032, 'bnds': 2, 'lat': 144, 'lon': 192})   Native N96 grid; 192 x 144 longitude/latitude   250 km   float32
