Model;;Mean year per GWL;;;;;Period per GWL;;;;;AUT GCM CCS 1991-2020
GCM (CMIP5);RCP;1.0°C;1.5°C;2.0°C;3.0°C;4.0°C;1.0°C;1.5°C;2.0°C;3.0°C;4.0°C;1.0°C;1.5°C;2.0°C;3.0°C;4.0°C
bcc-csm1-1_rcp45_r1i1p1_200601-209912;rcp45;1998;2022;2044;n/a;n/a;1988-2007;2012-2031;2034-2053;n/a;n/a;-0.04245986938471731;0.2424674987793395;1.0014052497016395;n/a;n/a
GFDL-ESM2M_rcp60_r1i1p1_200601-210012;rcp60;2015;2057;2075;n/a;n/a;2005-2024;2047-2066;2065-2084;n/a;n/a;0.1500163466841741;0.38589179427531806;1.5271888591624732;n/a;n/a
HadGEM2-ES_rcp60_r1i1p1_200512-209911;rcp60;2011;2030;2048;2073;n/a;2001-2020;2020-2039;2038-2057;2063-2082;n/a;0.21552513212389215;1.2980122161947436;1.605242811380424;3.2878026632470725;n/a
IPSL-CM5A-LR_rcp60_r1i1p1_200601-210012;rcp60;1995;2013;2033;2072;n/a;1985-2004;2003-2022;2023-2042;2062-2081;n/a;-0.4990219540066392;0.3696277194552693;0.7531809065076716;2.024830012851268;n/a
MIROC5_rcp60_r1i1p1_200601-210012;rcp60;2025;2053;2072;n/a;n/a;2015-2034;2043-2062;2062-2081;n/a;n/a;0.3257156420605185;1.542971455244424;2.205189811157618;n/a;n/a
BNU-ESM_rcp85_r1i1p1_200601-210012;rcp85;1994;2009;2023;2046;2065;1984-2003;1999-2018;2013-2032;2036-2055;2055-2074;-0.24538512053306932;0.052995370935565236;0.777983502988522;1.7631489506475049;3.038542203550037
CNRM-CM5_rcp85_r1i1p1_200601-210012;rcp85;2012;2031;2046;2068;2088;2002-2021;2021-2040;2036-2055;2058-2077;2078-2097;0.15481884362607445;0.8063121597127151;1.5717548309151028;2.6047206391182103;3.8460715047062592
CanESM2_rcp85_r1i1p1_200601-210012;rcp85;2001;2014;2027;2050;2069;1991-2010;2004-2023;2017-2036;2040-2059;2059-2078;-0.13517857304322264;0.2999438956932039;0.7383309823495637;1.8766875938133212;3.2761420921043314
EC-EARTH_rcp85_r12i1p1_200601-210012;rcp85;2004;2019;2035;2061;n/a;1994-2013;2009-2028;2025-2044;2051-2070;n/a;-0.027899969907008427;0.3201067189300318;0.9418344262330521;1.9392676091142194;n/a
EC-EARTH_rcp85_r1i1p1_200601-210012;rcp85;2002;2020;2036;2062;2083;1992-2011;2010-2029;2026-2045;2052-2071;2073-2092;-0.09896634195077354;0.33111575072592814;0.9006431658989045;1.502779169618114;2.9187363127111583
GFDL-CM3_rcp85_r1i1p1_200601-210012;rcp85;2011;2023;2035;2055;2071;2001-2020;2013-2032;2025-2044;2045-2064;2061-2080;0.4842679288173713;1.2547776910347297;1.8814544179047772;3.3167032989732235;4.913674156484248
GFDL-ESM2M_rcp85_r1i1p1_200601-220012;rcp85;2015;2037;2052;2083;2110;2005-2024;2027-2046;2042-2061;2073-2092;2100-2119;0.1998888086389286;1.0197816071686476;1.339764178240705;2.537708522655305;4.0373841038456275
HadGEM2-ES_rcp85_r1i1p1_200512-209912;rcp85;2010;2024;2036;2055;2072;2000-2019;2014-2033;2026-2045;2045-2064;2062-2081;0.22191109479341264;1.2518766969956205;1.6533994588178644;2.854724287862686;4.261737510045464
IPSL-CM5A-LR_rcp85_r1i1p1_200601-230012;rcp85;1995;2011;2027;2048;2066;1985-2004;2001-2020;2017-2036;2038-2057;2056-2075;-0.37639969719787136;0.27716342078308287;0.9769844479030383;2.1671324835882557;3.4109224743312554
IPSL-CM5A-MR_rcp85_r1i1p1_200601-210012;rcp85;2002;2016;2031;2051;2067;1992-2011;2006-2025;2021-2040;2041-2060;2057-2076;-0.22169461570514387;0.4562594878227628;0.7019769600148124;2.007024164987843;3.2069946275303325
MIROC5_rcp85_r1i1p1_200601-210012;rcp85;2017;2034;2049;2073;n/a;2007-2026;2024-2043;2039-2058;2063-2082;n/a;0.5912102063978381;1.528674631938958;2.137834506442553;3.2936403959542933;n/a
MPI-ESM-LR_rcp85_r1i1p1_200601-210012;rcp85;2003;2018;2038;2062;2082;1993-2012;2008-2027;2028-2047;2052-2071;2072-2091;-0.11960970560712952;0.28053309122718134;0.8944876352945557;2.133686319986944;3.254646555582642
NorESM1-ME_rcp85_r1i1p1_200601-210012;rcp85;2013;2034;2048;2070;n/a;2003-2022;2024-2043;2038-2057;2060-2079;n/a;0.2771116892496508;0.6907233768039106;1.3914119720458729;2.522528669569201;n/a
NorESM1-M_rcp85_r1i1p1_200601-210012;rcp85;2017;2033;2050;2074;n/a;2007-2026;2023-2042;2040-2059;2064-2083;n/a;0.11168782269515135;0.7808481993498901;1.1650189858895943;2.5103252552173845;n/a
bcc-csm1-1-m_rcp85_r1i1p1_200601-210012;rcp85;1996;2011;2029;2060;2086;1986-2005;2001-2020;2019-2038;2050-2069;2076-2095;-0.15833783323064382;0.1970860585039958;0.8524863090359134;2.722450747817769;3.575080583435343
bcc-csm1-1_rcp85_r1i1p1_200601-209912;rcp85;1998;2020;2037;2060;2084;1988-2007;2010-2029;2027-2046;2050-2069;2074-2093;-0.1881812908032089;0.2563669981779043;1.4150692127368245;2.2598840219002283;3.8378899609600126
