OEKS15 ensemble member;Mean year per GWL;;;;Period per GWL
;1.5°C;2.0°C;3.0°C;4.0°C;1.5°C;2.0°C;3.0°C;4.0°C
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_CLMcom-CCLM4-8-17_all;2033;n/a;n/a;n/a;2023-2042;n/a;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E_all;2026;2050;n/a;n/a;2016-2035;2040-2059;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4_all;2023;2039;n/a;n/a;2013-2032;2029-2048;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp26_r3i1p1_DMI-HIRHAM5_all;2035;n/a;n/a;n/a;2025-2044;n/a;n/a;n/a
SDM_MOHC-HadGEM2-ES_rcp26_r1i1p1_SMHI-RCA4_all;2014;2021;n/a;n/a;2004-2023;2011-2030;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_MPI-CSC-REMO2009_all;2022;2039;n/a;n/a;2012-2031;2029-2048;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_SMHI-RCA4_all;2020;2026;n/a;n/a;2010-2029;2016-2035;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009_all;2012;n/a;n/a;n/a;2002-2021;n/a;n/a;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2036;2055;n/a;n/a;2026-2045;2045-2064;n/a;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN53;2027;2049;2091;n/a;2017-2036;2039-2058;2081-2100;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_SMHI-RCA4;2022;2046;n/a;n/a;2012-2031;2036-2055;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_CLMcom-CCLM4-8-17;2022;2050;n/a;n/a;2012-2031;2040-2059;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4;2016;2033;2075;n/a;2006-2025;2023-2042;2065-2084;n/a
SDM_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E;2019;2031;2076;n/a;2009-2028;2021-2040;2066-2085;n/a
SDM_ICHEC-EC-EARTH_rcp45_r3i1p1_DMI-HIRHAM5;2026;2038;n/a;n/a;2016-2035;2028-2047;n/a;n/a
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-INERIS-WRF331F;2030;2038;2079;n/a;2020-2039;2028-2047;2069-2088;n/a
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4;2025;2038;2070;n/a;2015-2034;2028-2047;2060-2079;n/a
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2016;2025;2048;n/a;2006-2025;2015-2034;2038-2057;n/a
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_SMHI-RCA4;2015;2027;2058;n/a;2005-2024;2017-2036;2048-2067;n/a
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2029;2039;n/a;n/a;2019-2038;2029-2048;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_SMHI-RCA4;2025;2034;n/a;n/a;2015-2034;2024-2043;n/a;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2029;2042;2066;2090;2019-2038;2032-2051;2056-2075;2080-2099
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN53;2019;2038;2056;2078;2009-2028;2028-2047;2046-2065;2068-2087
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_SMHI-RCA4;2020;2032;2054;2072;2010-2029;2022-2041;2044-2063;2062-2081
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-CCLM4-8-17;2026;2041;2067;2085;2016-2035;2031-2050;2057-2076;2075-2094
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_SMHI-RCA4;2015;2028;2044;2073;2005-2024;2018-2037;2034-2053;2063-2082
SDM_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E;2017;2030;2066;2082;2007-2026;2020-2039;2056-2075;2072-2091
SDM_ICHEC-EC-EARTH_rcp85_r3i1p1_DMI-HIRHAM5;2017;2030;2067;2086;2007-2026;2020-2039;2057-2076;2076-2095
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_IPSL-INERIS-WRF331F;2013;2051;2064;2091;2003-2022;2041-2060;2054-2073;2081-2100
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_SMHI-RCA4;2014;2035;2049;2065;2004-2023;2025-2044;2039-2058;2055-2074
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2013;2023;2044;2062;2003-2022;2013-2032;2034-2053;2052-2071
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_SMHI-RCA4;2012;2023;2047;2065;2002-2021;2013-2032;2037-2056;2055-2074
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2024;2046;2063;2087;2014-2033;2036-2055;2053-2072;2077-2096
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4;2022;2038;2060;2077;2012-2031;2028-2047;2050-2069;2067-2086
