OEKS15 ensemble member;Mean year per GWL;;;;Period per GWL
;1.5°C;2.0°C;3.0°C;4.0°C;1.5°C;2.0°C;3.0°C;4.0°C
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_CLMcom-CCLM4-8-17_all;2036;n/a;n/a;n/a;2026-2045;n/a;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E_all;2033;n/a;n/a;n/a;2023-2042;n/a;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4_all;2025;2047;n/a;n/a;2015-2034;2037-2056;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp26_r3i1p1_DMI-HIRHAM5_all;2040;n/a;n/a;n/a;2030-2049;n/a;n/a;n/a
SDM_MOHC-HadGEM2-ES_rcp26_r1i1p1_SMHI-RCA4_all;2015;2026;n/a;n/a;2005-2024;2016-2035;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_MPI-CSC-REMO2009_all;2024;n/a;n/a;n/a;2014-2033;n/a;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_SMHI-RCA4_all;2023;2035;n/a;n/a;2013-2032;2025-2044;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009_all;2015;n/a;n/a;n/a;2005-2024;n/a;n/a;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2044;2057;n/a;n/a;2034-2053;2047-2066;n/a;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN53;2032;2054;n/a;n/a;2022-2041;2044-2063;n/a;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_SMHI-RCA4;2028;2054;n/a;n/a;2018-2037;2044-2063;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_CLMcom-CCLM4-8-17;2030;2054;n/a;n/a;2020-2039;2044-2063;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4;2023;2042;2083;n/a;2013-2032;2032-2051;2073-2092;n/a
SDM_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E;2021;2063;n/a;n/a;2011-2030;2053-2072;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp45_r3i1p1_DMI-HIRHAM5;2029;2042;n/a;n/a;2019-2038;2032-2051;n/a;n/a
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-INERIS-WRF331F;2031;2047;n/a;n/a;2021-2040;2037-2056;n/a;n/a
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4;2030;2041;2075;n/a;2020-2039;2031-2050;2065-2084;n/a
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2017;2032;2055;n/a;2007-2026;2022-2041;2045-2064;n/a
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_SMHI-RCA4;2016;2034;2063;n/a;2006-2025;2024-2043;2053-2072;n/a
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2031;2080;n/a;n/a;2021-2040;2070-2089;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_SMHI-RCA4;2027;2038;n/a;n/a;2017-2036;2028-2047;n/a;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2031;2047;2070;2091;2021-2040;2037-2056;2060-2079;2081-2100
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN53;2021;2043;2059;2079;2011-2030;2033-2052;2049-2068;2069-2088
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_SMHI-RCA4;2024;2038;2056;2073;2014-2033;2028-2047;2046-2065;2063-2082
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-CCLM4-8-17;2030;2043;2073;2085;2020-2039;2033-2052;2063-2082;2075-2094
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_SMHI-RCA4;2023;2032;2051;2074;2013-2032;2022-2041;2041-2060;2064-2083
SDM_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E;2020;2044;2069;2082;2010-2029;2034-2053;2059-2078;2072-2091
SDM_ICHEC-EC-EARTH_rcp85_r3i1p1_DMI-HIRHAM5;2019;2041;2070;2086;2009-2028;2031-2050;2060-2079;2076-2095
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_IPSL-INERIS-WRF331F;2014;2053;2067;n/a;2004-2023;2043-2062;2057-2076;n/a
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_SMHI-RCA4;2016;2040;2052;2066;2006-2025;2030-2049;2042-2061;2056-2075
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2015;2025;2050;2065;2005-2024;2015-2034;2040-2059;2055-2074
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_SMHI-RCA4;2015;2026;2051;2066;2005-2024;2016-2035;2041-2060;2056-2075
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2033;2048;2074;2089;2023-2042;2038-2057;2064-2083;2079-2098
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4;2033;2046;2062;2077;2023-2042;2036-2055;2052-2071;2067-2086
