Year;Anomaly 1991-2020
1951;-0.8156132698059082
1952;-0.5122919082641602
1953;-0.25464630126953125
1954;-0.44727134704589844
1955;-0.5812463760375977
1956;-1.3138175010681152
1957;-0.04312849044799805
1958;-0.5121550559997559
1959;-0.6320314407348633
1960;-0.44786882400512695
1961;-0.1412339210510254
1962;-1.0654101371765137
1963;-0.5429959297180176
1964;0.12908124923706055
1965;0.16103696823120117
1966;-0.7595639228820801
1967;-0.5394372940063477
1968;-0.2649831771850586
1969;-0.9454598426818848
1970;-0.5460567474365234
1971;0.06500673294067383
1972;0.936678409576416
1973;0.9835424423217773
1974;-0.25550127029418945
1975;-0.11062097549438477
1976;-0.7182822227478027
1977;0.03085041046142578
1978;-0.7984471321105957
1979;-0.9468765258789062
1980;-1.207448959350586
1981;-0.774355411529541
1982;-0.429781436920166
1983;-0.4956836700439453
1984;-0.044112205505371094
1985;-0.8925623893737793
1986;0.03130197525024414
1987;-0.2842588424682617
1988;0.5989623069763184
1989;-0.33959150314331055
1990;-0.15848159790039062
1991;1.1714129447937012
1992;0.2252368927001953
1993;0.48938703536987305
1994;-0.8909926414489746
1995;-1.6390533447265625
1996;-0.9963083267211914
1997;0.22641944885253906
1998;-0.8816471099853516
1999;0.09933948516845703
2000;0.1981954574584961
2001;0.46402597427368164
2002;-0.6840023994445801
2003;-0.10889387130737305
2004;0.07798957824707031
2005;0.9131903648376465
2006;0.17702341079711914
2007;-0.3701820373535156
2008;-0.7415084838867188
2009;0.27582502365112305
2010;-0.0936594009399414
2011;-0.5562124252319336
2012;0.4495811462402344
2013;0.4687075614929199
2014;0.6929364204406738
2015;1.106132984161377
2016;-0.9019579887390137
2017;-0.48326969146728516
2018;-0.4001655578613281
2019;1.1092915534973145
2020;0.6031556129455566
2021;-0.7373185157775879
2022;0.3895564079284668
2023;0.6105103492736816
2024;0.765047550201416
2025;-0.5701432228088379
2026;-0.15418481826782227
2027;0.705254077911377
2028;0.9722385406494141
2029;0.8881683349609375
2030;-0.08910083770751953
2031;-0.1751871109008789
2032;0.29799890518188477
2033;0.8211784362792969
2034;-0.27264881134033203
2035;0.9401202201843262
2036;-0.021728992462158203
2037;1.2077317237854004
2038;0.49822235107421875
2039;1.3320965766906738
2040;2.6947617530822754
2041;0.6187624931335449
2042;0.11075735092163086
2043;0.8206605911254883
2044;1.1499958038330078
2045;0.41321277618408203
2046;0.9089260101318359
2047;1.0340824127197266
2048;0.6286001205444336
2049;0.7171502113342285
2050;2.1783318519592285
2051;1.2504987716674805
2052;1.6304326057434082
2053;0.9975180625915527
2054;1.1498870849609375
2055;1.620053768157959
2056;1.4121298789978027
2057;0.9887990951538086
2058;1.0771079063415527
2059;1.6167140007019043
2060;1.3837733268737793
2061;1.3127350807189941
2062;2.1659674644470215
2063;2.2066903114318848
2064;2.5794005393981934
2065;2.3303933143615723
2066;0.9949402809143066
2067;1.7729811668395996
2068;2.3569674491882324
2069;2.834411144256592
2070;2.08146333694458
2071;1.7870097160339355
2072;1.5296101570129395
2073;1.5388636589050293
2074;2.4165167808532715
2075;3.6394028663635254
2076;2.0511536598205566
2077;2.7110018730163574
2078;2.2570271492004395
2079;2.9614977836608887
2080;2.844817638397217
2081;2.814089298248291
2082;3.116420269012451
2083;2.94376802444458
2084;2.825181484222412
2085;3.042423725128174
2086;3.086813449859619
2087;2.623870372772217
2088;3.4394383430480957
2089;2.694484233856201
2090;1.9596667289733887
2091;2.369051456451416
2092;3.9183478355407715
2093;4.363236904144287
2094;3.042884349822998
2095;3.8920388221740723
2096;2.80704927444458
2097;3.2030692100524902
2098;2.6383824348449707
2099;3.768118381500244
2100;3.906221866607666
