Year;Precipitation sum
1971;1091.8974609375
1972;1033.7073974609375
1973;1075.9765625
1974;959.2750244140625
1975;1106.583251953125
1976;1084.84033203125
1977;1164.303955078125
1978;962.3970947265625
1979;930.3701171875
1980;1158.125244140625
1981;1046.03515625
1982;1247.906494140625
1983;1078.2283935546875
1984;1222.8765869140625
1985;1090.60205078125
1986;1159.0078125
1987;1047.96044921875
1988;915.0044555664062
1989;1219.822021484375
1990;1178.1824951171875
1991;1116.9559326171875
1992;1160.454345703125
1993;1202.107421875
1994;907.3456420898438
1995;1018.65185546875
1996;1273.060302734375
1997;1446.6566162109375
1998;994.905029296875
1999;1225.42578125
2000;1085.90771484375
2001;964.8218383789062
2002;941.7544555664062
2003;1218.064453125
2004;1047.970947265625
2005;1015.2988891601562
2006;1223.044189453125
2007;1063.759765625
2008;1265.49755859375
2009;1142.7421875
2010;915.4874877929688
2011;1208.761962890625
2012;1191.501708984375
2013;1094.9229736328125
2014;1074.1759033203125
2015;1262.3369140625
2016;1035.128662109375
2017;1156.858154296875
2018;1033.26025390625
2019;1083.306640625
2020;1383.112548828125
2021;1388.546630859375
2022;1148.438232421875
2023;1039.5914306640625
2024;1169.352783203125
2025;1319.7967529296875
2026;1129.4080810546875
2027;948.9454345703125
2028;1002.8783569335938
2029;1259.689208984375
2030;1104.8670654296875
2031;1006.0761108398438
2032;1243.1011962890625
2033;1402.169921875
2034;1035.0318603515625
2035;1214.2021484375
2036;1195.9610595703125
2037;1082.504150390625
2038;926.5699462890625
2039;1116.05224609375
2040;1305.294189453125
2041;932.9741821289062
2042;1045.694580078125
2043;1269.77294921875
2044;1356.107421875
2045;934.6018676757812
2046;1275.105712890625
2047;1278.8341064453125
2048;1024.826904296875
2049;1166.219482421875
2050;1099.198486328125
2051;1242.76904296875
2052;1339.4453125
2053;1091.96728515625
2054;1312.211669921875
2055;1174.867431640625
2056;1150.469970703125
2057;1191.818603515625
2058;1374.2777099609375
2059;1330.787109375
2060;1034.188720703125
2061;1065.0533447265625
2062;1315.5693359375
2063;1379.869384765625
2064;1221.954833984375
2065;1110.5467529296875
2066;1149.683837890625
2067;1006.2385864257812
2068;1330.636962890625
2069;1264.9415283203125
2070;1065.9859619140625
2071;1147.36279296875
2072;1409.4404296875
2073;1004.0194702148438
2074;974.11181640625
2075;1322.0235595703125
2076;1587.475341796875
2077;1078.0980224609375
2078;1075.9317626953125
2079;1052.2034912109375
2080;1273.2227783203125
2081;1073.30517578125
2082;1169.846435546875
2083;1163.143798828125
2084;1187.484130859375
2085;1304.6668701171875
2086;1122.35400390625
2087;1163.7445068359375
2088;987.460693359375
2089;1213.636474609375
2090;1137.47314453125
2091;1180.29296875
2092;1118.851318359375
2093;1107.7978515625
2094;1103.155517578125
2095;1125.64208984375
2096;1149.3203125
2097;1062.1036376953125
2098;1186.2646484375
2099;1169.558349609375
2100;1276.3299560546875
