Year;Precipitation sum
1971;1188.27734375
1972;1174.955322265625
1973;1062.166015625
1974;1195.59033203125
1975;1085.9599609375
1976;915.591796875
1977;1115.2315673828125
1978;1156.9739990234375
1979;920.4417724609375
1980;1301.986328125
1981;888.834228515625
1982;916.449462890625
1983;960.1593627929688
1984;927.79736328125
1985;1196.2891845703125
1986;1138.6900634765625
1987;1112.732666015625
1988;1078.953369140625
1989;1333.0819091796875
1990;1267.0313720703125
1991;1311.27294921875
1992;1243.0718994140625
1993;1107.84765625
1994;1158.350830078125
1995;1250.09130859375
1996;1201.938720703125
1997;1045.44580078125
1998;1396.04443359375
1999;1023.75
2000;864.4190673828125
2001;1141.875732421875
2002;1022.95068359375
2003;1131.654296875
2004;1083.8564453125
2005;918.0921630859375
2006;1326.6861572265625
2007;986.677978515625
2008;974.7205200195312
2009;983.098876953125
2010;1197.0274658203125
2011;1159.666748046875
2012;1123.368408203125
2013;1142.7718505859375
2014;1148.240234375
2015;1160.96240234375
2016;1264.288330078125
2017;957.2926635742188
2018;1182.84228515625
2019;1020.67236328125
2020;1308.5545654296875
2021;1214.6832275390625
2022;898.78955078125
2023;968.146484375
2024;1237.377685546875
2025;1240.858154296875
2026;1113.834716796875
2027;1468.220458984375
2028;1086.8868408203125
2029;1253.056640625
2030;1220.703857421875
2031;1187.406982421875
2032;982.2180786132812
2033;1360.0672607421875
2034;1076.645263671875
2035;1129.591552734375
2036;1076.0987548828125
2037;1512.7813720703125
2038;898.4871215820312
2039;1278.098388671875
2040;1287.669189453125
2041;1089.60205078125
2042;1010.036865234375
2043;1476.9105224609375
2044;1101.506591796875
2045;1175.6689453125
2046;1265.33837890625
2047;1320.03125
2048;1259.637451171875
2049;1315.8106689453125
2050;1304.1146240234375
2051;1319.594970703125
2052;1230.5963134765625
2053;1217.4609375
2054;1059.747802734375
2055;1429.655517578125
2056;1344.4263916015625
2057;1239.867431640625
2058;1382.284912109375
2059;1100.097412109375
2060;985.857421875
2061;1121.4447021484375
2062;1230.341796875
2063;1237.904296875
2064;1281.712646484375
2065;1037.14453125
2066;1124.8865966796875
2067;1415.822509765625
2068;1110.2587890625
2069;1245.461181640625
2070;1141.4434814453125
2071;1048.27587890625
2072;1120.2705078125
2073;1419.809814453125
2074;1590.3919677734375
2075;1321.523681640625
2076;1218.517578125
2077;1324.4305419921875
2078;1512.662109375
2079;819.779052734375
2080;1301.336181640625
2081;1119.89794921875
2082;1238.287353515625
2083;1272.749755859375
2084;1255.6859130859375
2085;1009.359619140625
2086;1029.2344970703125
2087;1085.7969970703125
2088;1156.718505859375
2089;1147.945068359375
2090;957.4124145507812
2091;951.2158203125
2092;1239.5789794921875
2093;1209.034423828125
2094;1382.318603515625
2095;1219.2554931640625
2096;1098.5638427734375
2097;1396.1259765625
2098;1068.227294921875
2099;1489.009521484375
2100;1164.201416015625
