Year;Anomaly 1991-2020
1951;-0.9727187156677246
1952;-0.6693973541259766
1953;-0.41175174713134766
1954;-0.6043767929077148
1955;-0.7383518218994141
1956;-1.4709229469299316
1957;-0.20023393630981445
1958;-0.6692605018615723
1959;-0.7891368865966797
1960;-0.6049742698669434
1961;-0.2983393669128418
1962;-1.22251558303833
1963;-0.700101375579834
1964;-0.02802419662475586
1965;0.003931522369384766
1966;-0.9166693687438965
1967;-0.6965427398681641
1968;-0.422088623046875
1969;-1.1025652885437012
1970;-0.7031621932983398
1971;-0.09209871292114258
1972;0.7795729637145996
1973;0.8264369964599609
1974;-0.41260671615600586
1975;-0.26772642135620117
1976;-0.8753876686096191
1977;-0.12625503540039062
1978;-0.9555525779724121
1979;-1.1039819717407227
1980;-1.3645544052124023
1981;-0.9314608573913574
1982;-0.5868868827819824
1983;-0.6527891159057617
1984;-0.2012176513671875
1985;-1.0496678352355957
1986;-0.12580347061157227
1987;-0.4413642883300781
1988;0.44185686111450195
1989;-0.49669694900512695
1990;-0.31558704376220703
1991;1.0143074989318848
1992;0.0681314468383789
1993;0.33228158950805664
1994;-1.048098087310791
1995;-1.796158790588379
1996;-1.1624650955200195
1997;0.06025218963623047
1998;-1.0446796417236328
1999;-0.07036304473876953
2000;0.029157638549804688
2001;0.2961921691894531
2002;-0.8801546096801758
2003;-0.27495813369750977
2004;-0.09200000762939453
2005;0.7400059700012207
2006;1.5509181022644043
2007;-0.08015918731689453
2008;0.4518265724182129
2009;0.2113780975341797
2010;0.026295185089111328
2011;0.7910966873168945
2012;0.4929537773132324
2013;0.27907896041870117
2014;-1.2986102104187012
2015;0.5676159858703613
2016;-0.6097249984741211
2017;0.7078123092651367
2018;0.0014095306396484375
2019;0.14092445373535156
2020;0.5957341194152832
2021;0.6226925849914551
2022;0.251497745513916
2023;-0.8617854118347168
2024;-1.5071420669555664
2025;-0.38599538803100586
2026;0.574892520904541
2027;0.03692913055419922
2028;-0.17775487899780273
2029;0.6032342910766602
2030;0.0031232833862304688
2031;1.1773419380187988
2032;0.22415494918823242
2033;-0.19891071319580078
2034;1.553077220916748
2035;-0.10566091537475586
2036;-0.3474116325378418
2037;1.6126818656921387
2038;-0.6392536163330078
2039;1.464684009552002
2040;0.606236457824707
2041;0.9131221771240234
2042;1.3610072135925293
2043;-0.8176755905151367
2044;-0.40430402755737305
2045;-0.09491491317749023
2046;-0.3444828987121582
2047;0.7294445037841797
2048;1.159895896911621
2049;1.0894107818603516
2050;0.08476400375366211
2051;0.6874532699584961
2052;0.9674892425537109
2053;1.152801513671875
2054;0.04940080642700195
2055;2.1714730262756348
2056;0.5852303504943848
2057;1.1726336479187012
2058;0.8672184944152832
2059;1.7944636344909668
2060;1.408109188079834
2061;1.136124610900879
2062;0.9953489303588867
2063;0.8940300941467285
2064;1.6677794456481934
2065;0.9765701293945312
2066;1.482593059539795
2067;2.1259331703186035
2068;1.0198493003845215
2069;0.8337678909301758
2070;0.26555299758911133
2071;1.6465725898742676
2072;2.4345831871032715
2073;0.5130548477172852
2074;1.6290602684020996
2075;2.2773289680480957
2076;1.6615843772888184
2077;0.38459205627441406
2078;0.9470906257629395
2079;1.2138333320617676
2080;1.0889997482299805
2081;2.0843167304992676
2082;0.33688974380493164
2083;2.1637024879455566
2084;1.842775821685791
2085;1.39286470413208
2086;0.963658332824707
2087;0.8517961502075195
2088;1.5098156929016113
2089;0.6168246269226074
2090;0.7668495178222656
2091;0.5081524848937988
2092;1.8642878532409668
2093;1.700202465057373
2094;2.9928040504455566
2095;1.6956658363342285
2096;1.891319751739502
2097;2.029994487762451
2098;0.5603232383728027
2099;1.1407709121704102
2100;1.6953492164611816
